,Player,POS,Team_x,FPTS,Value,Value Rank,Team_y,Bye,Yahoo,Fantrax,FFC,Sleeper,Average ADP,ADP Rank,Diff in ADP and Value
0,Jonathan Taylor,RB,IND,313.53000000000003,1.0,1.0,IND,14.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,Austin Ekeler,RB,LAC,286.59000000000003,0.9416552243913215,4.0,LAC,8.0,3.0,2.0,3.0,4.0,3.0,2.0,-2.0
1,Christian McCaffrey,RB,CAR,292.36,0.954151488506469,2.0,CAR,13.0,4.0,4.0,5.0,2.0,3.8,4.0,2.0
2,Cooper Kupp,WR,LAR,296.47,0.9428896906903915,3.0,LAR,7.0,2.0,3.0,4.0,6.0,3.8,4.0,1.0
4,Derrick Henry,RB,TEN,280.03,0.9274480333002697,5.0,TEN,6.0,5.0,5.0,2.0,3.0,3.8,4.0,-1.0
6,Justin Jefferson,WR,MIN,260.28000000000003,0.8645119093511905,7.0,MIN,7.0,6.0,6.0,7.0,7.0,6.5,6.0,-1.0
12,Najee Harris,RB,PIT,241.76999999999998,0.8445871901381302,13.0,PIT,9.0,9.0,7.0,6.0,8.0,7.5,7.5,-5.5
11,Dalvin Cook,RB,MIN,244.27,0.8500015160112445,12.0,MIN,7.0,7.0,8.0,10.0,5.0,7.5,7.5,-4.5
9,Ja'Marr Chase,WR,CIN,255.59,0.8543546340132283,10.0,CIN,10.0,8.0,9.0,11.0,9.0,9.3,9.0,-1.0
8,Joe Mixon,RB,CIN,247.33999999999997,0.8566503081834286,9.0,CIN,10.0,10.0,11.0,8.0,10.0,9.8,10.0,1.0
15,Davante Adams,WR,LV,239.62,0.8197679203357748,16.0,LV,6.0,12.0,10.0,13.0,11.0,11.5,11.0,-5.0
20,Stefon Diggs,WR,BUF,229.34,0.7975042123455293,21.0,BUF,7.0,11.0,12.0,14.0,14.0,12.8,12.0,-9.0
25,Nick Chubb,RB,CLE,210.60999999999999,0.7771030324556348,26.0,CLE,9.0,13.0,17.0,9.0,15.0,13.5,13.0,-13.0
5,Travis Kelce,TE,KC,226.62000000000003,0.8717237914141786,6.0,KC,8.0,15.0,13.0,16.0,12.0,14.0,14.0,8.0
19,D'Andre Swift,RB,DET,221.11000000000004,0.7998432011227147,20.0,DET,6.0,17.0,16.0,12.0,13.0,14.5,15.0,-5.0
16,Aaron Jones,RB,GB,228.72,0.8163244090804741,17.0,GB,14.0,14.0,22.0,15.0,18.0,17.3,16.0,-1.0
24,CeeDee Lamb,WR,DAL,220.05999999999997,0.7774062347045293,25.0,DAL,9.0,16.0,21.0,17.0,16.0,17.5,17.0,-8.0
14,Deebo Samuel,WR,SF,241.64999999999998,0.8241643529447434,15.0,SF,9.0,18.0,15.0,18.0,23.0,18.5,18.0,3.0
10,Alvin Kamara,RB,NO,245.95000000000002,0.8536399429979772,11.0,NO,14.0,22.0,18.0,20.0,17.0,19.3,19.0,8.0
22,Javonte Williams,RB,DEN,216.33,0.7894910100533202,23.0,DEN,9.0,24.0,14.0,19.0,24.0,20.3,20.0,-3.0
27,Tyreek Hill,WR,MIA,215.90000000000003,0.7683967964516675,28.0,MIA,11.0,26.0,19.0,21.0,20.0,21.5,21.0,-7.0
21,Saquon Barkley,RB,NYG,218.82000000000002,0.794883678622942,22.0,NYG,9.0,23.0,23.0,23.0,19.0,22.0,22.0,0.0
13,Josh Allen,QB,BUF,387.53799999999995,0.8393028080859706,14.0,BUF,7.0,20.0,27.0,22.0,21.0,22.5,23.0,9.0
17,Leonard Fournette,RB,TB,228.70000000000002,0.8162810944734892,18.0,TB,11.0,19.0,24.0,25.0,25.0,23.3,24.5,6.5
7,Mark Andrews,TE,BAL,220.73000000000002,0.8589676396571215,8.0,BAL,10.0,25.0,20.0,26.0,22.0,23.3,24.5,16.5
28,Mike Evans,WR,TB,214.06,0.7644118526090553,29.0,TB,11.0,21.0,29.0,24.0,26.0,25.0,26.0,-3.0
34,A.J. Brown,WR,PHI,200.61999999999998,0.7353044367151934,35.0,PHI,7.0,32.0,26.0,29.0,27.0,28.5,27.0,-8.0
42,Keenan Allen,WR,LAC,199.03,0.7318609254598928,43.0,LAC,8.0,29.0,28.0,28.0,30.0,28.8,28.0,-15.0
29,Ezekiel Elliott,RB,DAL,200.51,0.7552291559282537,30.0,DAL,9.0,27.0,37.0,27.0,28.0,29.8,29.0,-1.0
30,Tee Higgins,WR,CIN,208.05000000000004,0.751395813210089,31.0,CIN,10.0,28.0,30.0,32.0,33.0,30.8,30.0,-1.0
18,James Conner,RB,ARI,221.35999999999999,0.8003846337100259,19.0,ARI,13.0,30.0,35.0,31.0,29.0,31.3,31.0,12.0
32,Cam Akers,RB,LAR,193.86999999999998,0.7408487064092623,33.0,LAR,7.0,34.0,25.0,35.0,34.0,32.0,32.0,-1.0
26,David Montgomery,RB,CHI,209.09,0.7738111223247814,27.0,CHI,14.0,35.0,34.0,30.0,36.0,33.8,33.0,6.0
23,Patrick Mahomes II,QB,KC,361.35999999999996,0.7826083190034173,24.0,KC,8.0,33.0,40.0,36.0,32.0,35.3,34.0,10.0
35,Kyle Pitts,TE,ATL,163.54000000000002,0.7351095209837613,36.0,ATL,14.0,37.0,33.0,42.0,31.0,35.8,35.0,-1.0
40,Michael Pittman Jr.,WR,IND,199.53000000000003,0.7329437906345158,41.0,IND,14.0,31.0,42.0,34.0,40.0,36.8,36.0,-5.0
31,Justin Herbert,QB,LAC,342.73199999999997,0.7422650940576689,32.0,LAC,8.0,36.0,41.0,39.0,35.0,37.8,37.0,5.0
36,Antonio Gibson,RB,WAS,191.0,0.7346330603069273,37.0,WAS,14.0,42.0,32.0,37.0,45.0,39.0,38.0,1.0
59,Terry McLaurin,WR,WAS,181.43,0.693744071313169,60.0,WAS,14.0,41.0,44.0,38.0,42.0,41.3,39.0,-21.0
58,Jaylen Waddle,WR,MIA,183.71000000000004,0.6986819365094491,59.0,MIA,11.0,44.0,31.0,46.0,46.0,41.8,40.0,-19.0
39,Breece Hall,RB,NYJ,190.47,0.733485223221827,40.0,NYJ,10.0,39.0,39.0,56.0,37.0,42.8,41.5,1.5
50,George Kittle,TE,SF,156.45,0.7197544928076094,51.0,SF,9.0,45.0,47.0,41.0,38.0,42.8,41.5,-9.5
53,Diontae Johnson,WR,PIT,190.32999999999998,0.7130190714214554,54.0,PIT,9.0,49.0,36.0,48.0,41.0,43.5,43.0,-11.0
47,DJ Moore,WR,CAR,194.94000000000003,0.7230030883314781,48.0,CAR,13.0,38.0,45.0,51.0,44.0,44.5,45.0,-3.0
41,Josh Jacobs,RB,LV,189.76999999999998,0.7319692119773551,42.0,LV,6.0,48.0,38.0,44.0,48.0,44.5,45.0,3.0
43,Travis Etienne Jr.,RB,JAC,188.87,0.730020054663034,44.0,JAC,11.0,50.0,46.0,43.0,39.0,44.5,45.0,1.0
48,Elijah Mitchell,RB,SF,185.14000000000001,0.7219418804603477,49.0,SF,9.0,40.0,48.0,40.0,53.0,45.3,47.0,-2.0
45,Darren Waller,TE,LV,160.63,0.7288072456674564,46.0,LV,6.0,46.0,50.0,49.0,43.0,47.0,48.0,2.0
