,Player,POS,Team_x,FPTS,Value,Value Rank,Team_y,Bye,Yahoo,Fantrax,FFC,Sleeper,Average ADP,ADP Rank,Diff in ADP and Value
13,Josh Allen,QB,BUF,387.53799999999995,0.8393028080859706,14.0,BUF,7.0,20.0,27.0,22.0,21.0,22.5,23.0,9.0
23,Patrick Mahomes II,QB,KC,361.35999999999996,0.7826083190034173,24.0,KC,8.0,33.0,40.0,36.0,32.0,35.3,34.0,10.0
31,Justin Herbert,QB,LAC,342.73199999999997,0.7422650940576689,32.0,LAC,8.0,36.0,41.0,39.0,35.0,37.8,37.0,5.0
37,Lamar Jackson,QB,BAL,339.01000000000005,0.7342042456977766,38.0,BAL,10.0,43.0,52.0,52.0,49.0,49.0,51.0,13.0
75,Joe Burrow,QB,CIN,311.182,0.6739363015389679,76.0,CIN,10.0,52.0,62.0,54.0,56.0,56.0,53.0,-23.0
38,Kyler Murray,QB,ARI,338.784,0.733714790638847,39.0,ARI,13.0,57.0,64.0,63.0,55.0,59.8,56.0,17.0
44,Jalen Hurts,QB,PHI,336.70799999999997,0.7292187344338129,45.0,PHI,7.0,59.0,76.0,66.0,65.0,66.5,65.0,20.0
56,Dak Prescott,QB,DAL,325.1700000000001,0.7042305376642166,57.0,DAL,9.0,73.0,68.0,83.0,82.0,76.5,74.0,17.0
94,Russell Wilson,QB,DEN,297.088,0.6434124979966994,95.0,DEN,9.0,70.0,79.0,77.0,81.0,76.8,75.0,-20.0
55,Tom Brady,QB,TB,326.03400000000005,0.7061017286859648,56.0,TB,11.0,60.0,91.0,92.0,84.0,81.8,81.0,25.0
89,Matthew Stafford,QB,LAR,302.066,0.6541935036752443,90.0,LAR,7.0,87.0,87.0,76.0,101.0,87.8,88.0,-2.0
78,Aaron Rodgers,QB,GB,308.128,0.6673221610523716,79.0,GB,14.0,86.0,97.0,91.0,96.0,92.5,93.0,14.0
86,Trey Lance,QB,SF,302.528,0.6551940710965959,87.5,SF,9.0,104.0,103.0,103.0,105.0,103.8,99.0,11.5
113,Derek Carr,QB,LV,282.746,0.6123515933278179,114.0,LV,6.0,110.0,113.0,107.0,115.0,111.3,104.0,-10.0
106,Kirk Cousins,QB,MIN,287.442,0.6225218630478756,107.0,MIN,7.0,116.0,104.0,121.0,123.0,116.0,112.0,5.0
131,Tua Tagovailoa,QB,MIA,267.65000000000003,0.5796577279756052,132.0,MIA,11.0,149.0,121.0,124.0,132.0,131.5,125.0,-7.0
149,Justin Fields,QB,CHI,255.68000000000006,0.5537339356951345,150.0,CHI,14.0,163.0,119.0,164.0,139.0,146.3,139.0,-11.0
493,Deshaun Watson,QB,CLE,154.388,0.33436277715934143,494.0,CLE,9.0,150.0,206.0,139.0,146.0,160.3,154.0,-340.0
143,Trevor Lawrence,QB,JAC,261.224,0.5657407447513524,144.0,JAC,11.0,199.0,128.0,163.0,171.0,165.3,164.0,20.0
160,Matt Ryan,QB,IND,250.13400000000001,0.5417227951782179,161.0,IND,14.0,191.0,162.0,151.0,174.0,169.5,170.0,9.0
169,Mac Jones,QB,NE,246.27799999999996,0.5333717389515265,170.0,NE,10.0,142.0,165.0,192.0,182.0,170.3,172.5,2.5
138,Ryan Tannehill,QB,TEN,264.55600000000004,0.5729569582750391,139.0,TEN,6.0,147.0,133.0,226.0,206.0,178.0,181.0,42.0
170,Jameis Winston,QB,NO,245.474,0.531630491750733,171.0,NO,14.0,177.0,181.0,179.0,179.0,179.0,183.0,12.0
183,Carson Wentz,QB,WAS,241.13,0.5222225591136098,184.0,WAS,14.0,139.0,209.0,,225.0,191.0,195.0,11.0
238,Baker Mayfield,QB,CAR,212.33399999999997,0.4598581879767313,239.0,CAR,13.0,136.0,210.0,242.0,209.0,199.3,203.0,-36.0
224,Davis Mills,QB,HOU,217.35600000000002,0.4707344857906432,225.0,HOU,6.0,,180.0,,233.0,206.5,212.0,-13.0
