,Player,POS,Team_x,FPTS,Value,Value Rank,Team_y,Bye,Yahoo,Fantrax,FFC,Sleeper,Average ADP,ADP Rank,Diff in ADP and Value
0,Jonathan Taylor,RB,IND,313.53000000000003,1.0,1.0,IND,14.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,Austin Ekeler,RB,LAC,286.59000000000003,0.9416552243913215,4.0,LAC,8.0,3.0,2.0,3.0,4.0,3.0,2.0,-2.0
1,Christian McCaffrey,RB,CAR,292.36,0.954151488506469,2.0,CAR,13.0,4.0,4.0,5.0,2.0,3.8,4.0,2.0
4,Derrick Henry,RB,TEN,280.03,0.9274480333002697,5.0,TEN,6.0,5.0,5.0,2.0,3.0,3.8,4.0,-1.0
12,Najee Harris,RB,PIT,241.76999999999998,0.8445871901381302,13.0,PIT,9.0,9.0,7.0,6.0,8.0,7.5,7.5,-5.5
11,Dalvin Cook,RB,MIN,244.27,0.8500015160112445,12.0,MIN,7.0,7.0,8.0,10.0,5.0,7.5,7.5,-4.5
8,Joe Mixon,RB,CIN,247.33999999999997,0.8566503081834286,9.0,CIN,10.0,10.0,11.0,8.0,10.0,9.8,10.0,1.0
25,Nick Chubb,RB,CLE,210.60999999999999,0.7771030324556348,26.0,CLE,9.0,13.0,17.0,9.0,15.0,13.5,13.0,-13.0
19,D'Andre Swift,RB,DET,221.11000000000004,0.7998432011227147,20.0,DET,6.0,17.0,16.0,12.0,13.0,14.5,15.0,-5.0
16,Aaron Jones,RB,GB,228.72,0.8163244090804741,17.0,GB,14.0,14.0,22.0,15.0,18.0,17.3,16.0,-1.0
10,Alvin Kamara,RB,NO,245.95000000000002,0.8536399429979772,11.0,NO,14.0,22.0,18.0,20.0,17.0,19.3,19.0,8.0
22,Javonte Williams,RB,DEN,216.33,0.7894910100533202,23.0,DEN,9.0,24.0,14.0,19.0,24.0,20.3,20.0,-3.0
21,Saquon Barkley,RB,NYG,218.82000000000002,0.794883678622942,22.0,NYG,9.0,23.0,23.0,23.0,19.0,22.0,22.0,0.0
17,Leonard Fournette,RB,TB,228.70000000000002,0.8162810944734892,18.0,TB,11.0,19.0,24.0,25.0,25.0,23.3,24.5,6.5
29,Ezekiel Elliott,RB,DAL,200.51,0.7552291559282537,30.0,DAL,9.0,27.0,37.0,27.0,28.0,29.8,29.0,-1.0
18,James Conner,RB,ARI,221.35999999999999,0.8003846337100259,19.0,ARI,13.0,30.0,35.0,31.0,29.0,31.3,31.0,12.0
32,Cam Akers,RB,LAR,193.86999999999998,0.7408487064092623,33.0,LAR,7.0,34.0,25.0,35.0,34.0,32.0,32.0,-1.0
26,David Montgomery,RB,CHI,209.09,0.7738111223247814,27.0,CHI,14.0,35.0,34.0,30.0,36.0,33.8,33.0,6.0
36,Antonio Gibson,RB,WAS,191.0,0.7346330603069273,37.0,WAS,14.0,42.0,32.0,37.0,45.0,39.0,38.0,1.0
39,Breece Hall,RB,NYJ,190.47,0.733485223221827,40.0,NYJ,10.0,39.0,39.0,56.0,37.0,42.8,41.5,1.5
41,Josh Jacobs,RB,LV,189.76999999999998,0.7319692119773551,42.0,LV,6.0,48.0,38.0,44.0,48.0,44.5,45.0,3.0
43,Travis Etienne Jr.,RB,JAC,188.87,0.730020054663034,44.0,JAC,11.0,50.0,46.0,43.0,39.0,44.5,45.0,1.0
48,Elijah Mitchell,RB,SF,185.14000000000001,0.7219418804603477,49.0,SF,9.0,40.0,48.0,40.0,53.0,45.3,47.0,-2.0
33,J.K. Dobbins,RB,BAL,191.51,0.7357375827850425,34.0,BAL,10.0,53.0,82.0,33.0,51.0,54.8,52.0,18.0
67,AJ Dillon,RB,GB,164.86,0.6780208689776454,68.0,GB,14.0,58.0,56.0,57.0,63.0,58.5,54.0,-14.0
54,Damien Harris,RB,NE,180.23000000000002,0.7113081444455513,55.0,NE,10.0,65.0,57.0,58.0,70.0,62.5,59.0,4.0
74,Clyde Edwards-Helaire,RB,KC,163.62,0.6753353633445807,75.0,KC,8.0,69.0,67.0,53.0,64.0,63.3,61.0,-14.0
52,Miles Sanders,RB,PHI,181.37,0.7137770770436914,53.0,PHI,7.0,71.0,81.0,64.0,67.0,70.8,70.0,17.0
68,Devin Singletary,RB,BUF,164.68,0.6776310375147812,69.0,BUF,7.0,75.0,75.0,78.0,88.0,79.0,78.0,9.0
95,Kareem Hunt,RB,CLE,148.2,0.6419398013592124,96.0,CLE,9.0,90.0,84.0,72.0,76.0,80.5,79.0,-17.0
70,Rashaad Penny,RB,SEA,164.23000000000002,0.6766564588576206,71.0,SEA,11.0,84.0,83.0,67.0,91.0,81.3,80.0,9.0
66,Tony Pollard,RB,DAL,166.02999999999997,0.6805547734862627,67.0,DAL,9.0,94.0,86.0,73.0,85.0,84.5,83.0,16.0
63,Cordarrelle Patterson,RB,ATL,168.04000000000002,0.6849078914882466,64.0,ATL,14.0,96.0,72.0,97.0,83.0,87.0,87.0,23.0
128,Ken Walker III,RB,SEA,122.03,0.5852626381194531,129.0,SEA,11.0,103.0,89.0,87.0,74.0,88.3,89.5,-39.5
91,Chase Edmonds,RB,MIA,151.32,0.6486968800488588,92.0,MIA,11.0,89.0,88.0,84.0,92.0,88.3,89.5,-2.5
101,Melvin Gordon III,RB,DEN,142.11,0.6287505035323062,102.0,DEN,9.0,98.0,100.0,82.0,100.0,95.0,94.0,-8.0
87,Rhamondre Stevenson,RB,NE,154.32,0.6551940710965959,87.5,NE,10.0,97.0,94.0,94.0,104.0,97.3,95.5,8.0
126,James Cook,RB,BUF,122.53,0.5863455032940759,127.0,BUF,7.0,112.0,126.0,100.0,99.0,109.3,101.0,-26.0
136,Michael Carter,RB,NYJ,116.6,0.5735027223230489,137.0,NYJ,10.0,132.0,93.0,101.0,113.0,109.8,102.0,-35.0
127,James Robinson,RB,JAC,122.19,0.5856091549753323,128.0,JAC,11.0,126.0,118.0,86.0,118.0,112.0,106.0,-22.0
194,Ronald Jones II,RB,KC,85.06,0.5051955871078404,195.0,KC,8.0,117.0,122.0,102.0,121.0,115.5,110.5,-84.5
164,Alexander Mattison,RB,MIN,100.73000000000002,0.5391325816805201,165.0,MIN,7.0,133.0,111.0,98.0,120.0,115.5,110.5,-54.5
145,Darrell Henderson Jr.,RB,LAR,111.68,0.5628473290047603,146.0,LAR,7.0,128.0,116.0,104.0,125.0,118.3,114.0,-32.0
144,Dameon Pierce,RB,HOU,112.59,0.5648181436225738,145.0,HOU,6.0,129.0,153.0,120.0,114.0,129.0,121.0,-24.0
155,Isaiah Spiller,RB,LAC,104.82000000000002,0.547990418808935,156.0,LAC,8.0,178.0,102.0,128.0,116.0,131.0,124.0,-32.0
159,Nyheim Hines,RB,IND,102.53999999999998,0.5430525536126547,160.0,IND,14.0,154.0,137.0,114.0,126.0,132.8,126.0,-34.0
151,Raheem Mostert,RB,MIA,106.8,0.5522785649004414,152.0,MIA,11.0,145.0,159.0,108.0,152.0,141.0,130.5,-21.5
180,Rachaad White,RB,TB,93.85000000000001,0.5242323568777099,181.0,TB,11.0,167.0,131.0,141.0,131.0,142.5,133.0,-48.0
135,Marlon Mack,RB,HOU,116.61000000000001,0.5735243796265415,136.0,HOU,6.0,122.0,208.0,113.0,136.0,144.8,134.0,-2.0
