,Player,POS,Team_x,FPTS,Value,Value Rank,Team_y,Bye,Yahoo,Fantrax,FFC,Sleeper,Average ADP,ADP Rank,Diff in ADP and Value
5,Travis Kelce,TE,KC,226.62000000000003,0.8717237914141786,6.0,KC,8.0,15.0,13.0,16.0,12.0,14.0,14.0,8.0
7,Mark Andrews,TE,BAL,220.73000000000002,0.8589676396571215,8.0,BAL,10.0,25.0,20.0,26.0,22.0,23.3,24.5,16.5
35,Kyle Pitts,TE,ATL,163.54000000000002,0.7351095209837613,36.0,ATL,14.0,37.0,33.0,42.0,31.0,35.8,35.0,-1.0
50,George Kittle,TE,SF,156.45,0.7197544928076094,51.0,SF,9.0,45.0,47.0,41.0,38.0,42.8,41.5,-9.5
45,Darren Waller,TE,LV,160.63,0.7288072456674564,46.0,LV,6.0,46.0,50.0,49.0,43.0,47.0,48.0,2.0
51,Dalton Schultz,TE,DAL,155.68,0.7180868804386902,52.0,DAL,9.0,55.0,69.0,74.0,61.0,64.8,63.0,11.0
77,T.J. Hockenson,TE,DET,132.95,0.668859829600336,78.0,DET,6.0,63.0,70.0,68.0,66.0,66.8,66.0,-12.0
64,Dallas Goedert,TE,PHI,140.32999999999998,0.684842919577769,65.0,PHI,7.0,64.0,85.0,85.0,80.0,78.5,77.0,12.0
96,Dawson Knox,TE,BUF,120.27999999999999,0.6414200260753934,97.0,BUF,7.0,77.0,106.0,89.0,93.0,91.3,92.0,-5.0
85,Zach Ertz,TE,ARI,126.64000000000001,0.6551940710965959,87.5,ARI,13.0,88.0,96.0,111.0,94.0,97.3,95.5,8.0
93,Mike Gesicki,TE,MIA,121.67,0.6444303912608448,94.0,MIA,11.0,120.0,114.0,109.0,112.0,113.8,108.0,14.0
98,Pat Freiermuth,TE,PIT,117.67,0.6357674698638621,99.0,PIT,9.0,113.0,141.0,130.0,109.0,123.3,118.0,19.0
100,Cole Kmet,TE,CHI,114.88000000000001,0.6297250821894668,101.0,CHI,14.0,189.0,124.0,147.0,122.0,145.5,135.5,34.5
117,Albert Okwuegbunam,TE,DEN,101.15,0.5999896044943236,118.0,DEN,9.0,123.0,152.0,188.0,128.0,147.8,140.0,22.0
110,Irv Smith Jr.,TE,MIN,107.7,0.6141751382818827,111.0,MIN,7.0,210.0,129.0,174.0,144.0,164.3,162.5,51.5
90,Hunter Henry,TE,NE,124.51,0.6505810654527026,91.0,NE,10.0,146.0,238.0,168.0,127.0,169.8,171.0,80.0
97,Noah Fant,TE,SEA,117.71000000000001,0.635854099077832,98.0,SEA,11.0,205.0,195.0,140.0,175.0,178.8,182.0,84.0
108,David Njoku,TE,CLE,111.23,0.6218201664147199,109.0,CLE,9.0,190.0,151.0,207.0,172.0,180.0,184.0,75.0
116,Robert Tonyan,TE,GB,101.71,0.6012024134899011,117.0,GB,14.0,209.0,176.0,159.0,204.0,187.0,188.5,71.5
118,Evan Engram,TE,JAC,100.75000000000001,0.5991233123546253,119.0,JAC,11.0,180.0,161.0,212.0,215.0,192.0,196.5,77.5
177,Cameron Brate,TE,TB,67.29,0.526657974868865,178.0,TB,11.0,143.0,204.0,210.0,214.0,192.8,198.0,20.0
109,Gerald Everett,TE,LAC,109.4,0.6178568798756005,110.0,LAC,8.0,218.0,184.0,223.0,187.0,203.0,209.0,99.0
140,Hayden Hurst,TE,CIN,88.15,0.5718351099541298,141.0,CIN,10.0,171.0,291.0,186.0,184.0,208.0,215.0,74.0
99,Tyler Higbee,TE,LAR,116.49000000000001,0.6332119080517523,100.0,LAR,7.0,194.0,272.0,196.0,176.0,209.5,216.5,116.5
189,Jonnu Smith,TE,NE,60.129999999999995,0.5111513455682659,190.0,NE,10.0,,215.0,,,215.0,225.0,35.0
