,Player,POS,Team_x,FPTS,Value,Value Rank,Team_y,Bye,Yahoo,Fantrax,FFC,Sleeper,Average ADP,ADP Rank,Diff in ADP and Value
2,Cooper Kupp,WR,LAR,296.47,0.9428896906903915,3.0,LAR,7.0,2.0,3.0,4.0,6.0,3.8,4.0,1.0
6,Justin Jefferson,WR,MIN,260.28000000000003,0.8645119093511905,7.0,MIN,7.0,6.0,6.0,7.0,7.0,6.5,6.0,-1.0
9,Ja'Marr Chase,WR,CIN,255.59,0.8543546340132283,10.0,CIN,10.0,8.0,9.0,11.0,9.0,9.3,9.0,-1.0
15,Davante Adams,WR,LV,239.62,0.8197679203357748,16.0,LV,6.0,12.0,10.0,13.0,11.0,11.5,11.0,-5.0
20,Stefon Diggs,WR,BUF,229.34,0.7975042123455293,21.0,BUF,7.0,11.0,12.0,14.0,14.0,12.8,12.0,-9.0
24,CeeDee Lamb,WR,DAL,220.05999999999997,0.7774062347045293,25.0,DAL,9.0,16.0,21.0,17.0,16.0,17.5,17.0,-8.0
14,Deebo Samuel,WR,SF,241.64999999999998,0.8241643529447434,15.0,SF,9.0,18.0,15.0,18.0,23.0,18.5,18.0,3.0
27,Tyreek Hill,WR,MIA,215.90000000000003,0.7683967964516675,28.0,MIA,11.0,26.0,19.0,21.0,20.0,21.5,21.0,-7.0
28,Mike Evans,WR,TB,214.06,0.7644118526090553,29.0,TB,11.0,21.0,29.0,24.0,26.0,25.0,26.0,-3.0
34,A.J. Brown,WR,PHI,200.61999999999998,0.7353044367151934,35.0,PHI,7.0,32.0,26.0,29.0,27.0,28.5,27.0,-8.0
42,Keenan Allen,WR,LAC,199.03,0.7318609254598928,43.0,LAC,8.0,29.0,28.0,28.0,30.0,28.8,28.0,-15.0
30,Tee Higgins,WR,CIN,208.05000000000004,0.751395813210089,31.0,CIN,10.0,28.0,30.0,32.0,33.0,30.8,30.0,-1.0
40,Michael Pittman Jr.,WR,IND,199.53000000000003,0.7329437906345158,41.0,IND,14.0,31.0,42.0,34.0,40.0,36.8,36.0,-5.0
59,Terry McLaurin,WR,WAS,181.43,0.693744071313169,60.0,WAS,14.0,41.0,44.0,38.0,42.0,41.3,39.0,-21.0
58,Jaylen Waddle,WR,MIA,183.71000000000004,0.6986819365094491,59.0,MIA,11.0,44.0,31.0,46.0,46.0,41.8,40.0,-19.0
53,Diontae Johnson,WR,PIT,190.32999999999998,0.7130190714214554,54.0,PIT,9.0,49.0,36.0,48.0,41.0,43.5,43.0,-11.0
47,DJ Moore,WR,CAR,194.94000000000003,0.7230030883314781,48.0,CAR,13.0,38.0,45.0,51.0,44.0,44.5,45.0,-3.0
57,DK Metcalf,WR,SEA,184.79000000000005,0.7010209252866345,58.0,SEA,11.0,54.0,43.0,45.0,47.0,47.3,49.0,-9.0
49,Mike Williams,WR,LAC,193.73000000000002,0.7203825546088908,50.0,LAC,8.0,47.0,49.0,47.0,50.0,48.3,50.0,0.0
72,Courtland Sutton,WR,DEN,173.42000000000002,0.6763965712157111,73.0,DEN,9.0,51.0,65.0,69.0,52.0,59.3,55.0,-18.0
69,Jerry Jeudy,WR,DEN,173.8,0.6772195487484244,70.0,DEN,9.0,61.0,66.0,62.0,54.0,60.8,57.0,-13.0
46,Brandin Cooks,WR,HOU,195.23,0.7236311501327592,47.0,HOU,6.0,68.0,58.0,61.0,62.0,62.3,58.0,11.0
65,Marquise Brown,WR,ARI,175.55,0.6810095768596044,66.0,ARI,13.0,72.0,54.0,65.0,60.0,62.8,60.0,-6.0
84,Allen Robinson II,WR,LAR,164.13,0.6562769362712187,85.0,LAR,7.0,56.0,73.0,71.0,58.0,64.5,62.0,-23.0
73,Chris Godwin,WR,TB,172.96999999999997,0.6754219925585504,74.0,TB,11.0,92.0,53.0,59.0,59.0,65.8,64.0,-10.0
79,Amari Cooper,WR,CLE,167.96,0.6645716835088298,80.0,CLE,9.0,76.0,55.0,81.0,57.0,67.3,67.0,-13.0
61,Michael Thomas,WR,NO,180.17999999999998,0.6910369083766117,62.0,NO,14.0,80.0,71.0,50.0,69.0,67.5,68.0,6.0
62,Gabriel Davis,WR,BUF,178.62000000000003,0.6876583690317886,63.0,BUF,7.0,67.0,63.0,75.0,77.0,70.5,69.0,6.0
60,Amon-Ra St. Brown,WR,DET,180.99,0.6927911499595009,61.0,DET,6.0,74.0,51.0,95.0,68.0,72.0,71.0,10.0
80,Adam Thielen,WR,MIN,167.72000000000003,0.6640519082250107,81.0,MIN,7.0,83.0,74.0,70.0,71.0,74.5,72.0,-9.0
71,Darnell Mooney,WR,CHI,173.51,0.6765914869471431,72.0,CHI,14.0,93.0,59.0,79.0,72.0,75.8,73.0,1.0
81,JuJu Smith-Schuster,WR,KC,167.4,0.663358874513252,82.0,KC,8.0,62.0,80.0,96.0,73.0,77.8,76.0,-6.0
83,Hunter Renfrow,WR,LV,167.02000000000004,0.6625358969805388,84.0,LV,6.0,99.0,61.0,80.0,89.0,82.3,82.0,-2.0
82,Elijah Moore,WR,NYJ,167.32000000000002,0.6631856160853126,83.0,NYJ,10.0,101.0,60.0,93.0,90.0,86.0,84.0,1.0
121,DeAndre Hopkins,WR,ARI,134.49,0.5920846887195769,122.0,ARI,13.0,100.0,112.0,55.0,79.0,86.5,85.5,-36.5
92,Rashod Bateman,WR,BAL,159.16,0.6455132564354676,93.0,BAL,10.0,82.0,90.0,99.0,75.0,86.5,85.5,-7.5
103,DeVonta Smith,WR,PHI,150.32999999999998,0.6263898574516283,104.0,PHI,7.0,109.0,78.0,88.0,87.0,90.5,91.0,-13.0
76,Tyler Lockett,WR,SEA,171.05,0.6712637902879988,77.0,SEA,11.0,111.0,77.0,112.0,98.0,99.5,97.5,20.5
111,Brandon Aiyuk,WR,SF,144.43,0.613612048391079,112.0,SF,9.0,106.0,92.0,105.0,95.0,99.5,97.5,-14.5
88,Robert Woods,WR,TEN,163.63,0.6551940710965959,87.5,TEN,6.0,130.0,98.0,90.0,106.0,106.0,100.0,12.5
112,Allen Lazard,WR,GB,144.29,0.6133088461421844,113.0,GB,14.0,108.0,123.0,106.0,103.0,110.0,103.0,-10.0
102,Drake London,WR,ATL,151.19,0.6282523855519797,103.0,ATL,14.0,125.0,99.0,146.0,78.0,112.0,106.0,3.0
105,Christian Kirk,WR,JAC,150.16,0.6260216832922566,106.0,JAC,11.0,121.0,101.0,118.0,108.0,112.0,106.0,0.0
124,Russell Gage,WR,TB,132.19,0.5871035089163118,125.0,TB,11.0,124.0,107.0,110.0,117.0,114.5,109.0,-16.0
104,Chase Claypool,WR,PIT,150.17,0.626043340595749,105.0,PIT,9.0,141.0,105.0,116.0,107.0,117.3,113.0,8.0
132,Chris Olave,WR,NO,127.56,0.5770761773993044,133.0,NO,14.0,144.0,110.0,138.0,97.0,122.3,116.0,-17.0
122,Kadarius Toney,WR,NYG,133.48,0.5898973010668388,123.0,NYG,9.0,152.0,108.0,119.0,111.0,122.5,117.0,-6.0
107,Treylon Burks,WR,TEN,148.50000000000003,0.6224265709125087,108.0,TEN,6.0,175.0,95.0,142.0,86.0,124.5,119.0,11.0
137,Garrett Wilson,WR,NYJ,125.83,0.5733294638951093,138.0,NYJ,10.0,161.0,109.0,189.0,102.0,140.3,128.0,-10.0
130,Jarvis Landry,WR,NO,129.63,0.5815592392222428,131.0,NO,14.0,160.0,135.0,135.0,133.0,140.8,129.0,-2.0
125,Tyler Boyd,WR,CIN,132.15,0.587016879702342,126.0,CIN,10.0,173.0,115.0,152.0,124.0,141.0,130.5,4.5
134,Marquez Valdes-Scantling,WR,KC,126.61,0.575018733567521,135.0,KC,8.0,174.0,143.0,133.0,119.0,142.3,132.0,-3.0
146,Skyy Moore,WR,KC,118.17999999999999,0.5567616267233799,147.0,KC,8.0,187.0,156.0,131.0,110.0,146.0,137.5,-9.5
129,DeVante Parker,WR,NE,130.95999999999998,0.5844396605867396,130.0,NE,10.0,169.0,144.0,143.0,148.0,151.0,144.0,14.0
123,Kenny Golladay,WR,NYG,133.06,0.5889876943201555,124.0,NYG,9.0,164.0,125.0,178.0,141.0,152.0,146.5,22.5
114,Jakobi Meyers,WR,NE,140.26,0.6045809528347245,115.0,NE,10.0,184.0,134.0,,145.0,154.3,150.0,35.0
176,Julio Jones,WR,TB,104.38000000000001,0.5268745479037896,177.0,TB,11.0,131.0,202.0,150.0,140.0,155.8,151.0,-26.0
