"Rank","Player","Team","Bye","POS","Yahoo","Fantrax","FFC","Sleeper","AVG"
"1","Jonathan Taylor","IND","14","RB1","1","1","1","1","1.0"
"2","Austin Ekeler","LAC","8","RB2","3","2","3","4","3.0"
"3","Cooper Kupp","LAR","7","WR1","2","3","4","6","3.8"
"4","Derrick Henry","TEN","6","RB3","5","5","2","3","3.8"
"5","Christian McCaffrey","CAR","13","RB4","4","4","5","2","3.8"
"6","Justin Jefferson","MIN","7","WR2","6","6","7","7","6.5"
"7","Dalvin Cook","MIN","7","RB5","7","8","10","5","7.5"
"8","Najee Harris","PIT","9","RB6","9","7","6","8","7.5"
"9","Ja'Marr Chase","CIN","10","WR3","8","9","11","9","9.3"
"10","Joe Mixon","CIN","10","RB7","10","11","8","10","9.8"
"11","Davante Adams","LV","6","WR4","12","10","13","11","11.5"
"12","Stefon Diggs","BUF","7","WR5","11","12","14","14","12.8"
"13","Nick Chubb","CLE","9","RB8","13","17","9","15","13.5"
"14","Travis Kelce","KC","8","TE1","15","13","16","12","14.0"
"15","D'Andre Swift","DET","6","RB9","17","16","12","13","14.5"
"16","Aaron Jones","GB","14","RB10","14","22","15","18","17.3"
"17","CeeDee Lamb","DAL","9","WR6","16","21","17","16","17.5"
"18","Deebo Samuel","SF","9","WR7","18","15","18","23","18.5"
"19","Alvin Kamara","NO","14","RB11","22","18","20","17","19.3"
"20","Javonte Williams","DEN","9","RB12","24","14","19","24","20.3"
"21","Tyreek Hill","MIA","11","WR8","26","19","21","20","21.5"
"22","Saquon Barkley","NYG","9","RB13","23","23","23","19","22.0"
"23","Josh Allen","BUF","7","QB1","20","27","22","21","22.5"
"24","Leonard Fournette","TB","11","RB14","19","24","25","25","23.3"
"25","Mark Andrews","BAL","10","TE2","25","20","26","22","23.3"
"26","Mike Evans","TB","11","WR9","21","29","24","26","25.0"
"27","A.J. Brown","PHI","7","WR10","32","26","29","27","28.5"
"28","Keenan Allen","LAC","8","WR11","29","28","28","30","28.8"
"29","Ezekiel Elliott","DAL","9","RB15","27","37","27","28","29.8"
"30","Tee Higgins","CIN","10","WR12","28","30","32","33","30.8"
"31","James Conner","ARI","13","RB16","30","35","31","29","31.3"
"32","Cam Akers","LAR","7","RB17","34","25","35","34","32.0"
"33","David Montgomery","CHI","14","RB18","35","34","30","36","33.8"
"34","Patrick Mahomes II","KC","8","QB2","33","40","36","32","35.3"
"35","Kyle Pitts","ATL","14","TE3","37","33","42","31","35.8"
"36","Michael Pittman Jr.","IND","14","WR13","31","42","34","40","36.8"
"37","Justin Herbert","LAC","8","QB3","36","41","39","35","37.8"
"38","Antonio Gibson","WAS","14","RB19","42","32","37","45","39.0"
"39","Terry McLaurin","WAS","14","WR14","41","44","38","42","41.3"
"40","Jaylen Waddle","MIA","11","WR15","44","31","46","46","41.8"
"41","Breece Hall","NYJ","10","RB20","39","39","56","37","42.8"
"42","George Kittle","SF","9","TE4","45","47","41","38","42.8"
"43","Diontae Johnson","PIT","9","WR16","49","36","48","41","43.5"
"44","DJ Moore","CAR","13","WR17","38","45","51","44","44.5"
"45","Josh Jacobs","LV","6","RB21","48","38","44","48","44.5"
"46","Travis Etienne Jr.","JAC","11","RB22","50","46","43","39","44.5"
"47","Elijah Mitchell","SF","9","RB23","40","48","40","53","45.3"
"48","Darren Waller","LV","6","TE5","46","50","49","43","47.0"
"49","DK Metcalf","SEA","11","WR18","54","43","45","47","47.3"
"50","Mike Williams","LAC","8","WR19","47","49","47","50","48.3"
"51","Lamar Jackson","BAL","10","QB4","43","52","52","49","49.0"
"52","J.K. Dobbins","BAL","10","RB24","53","82","33","51","54.8"
"53","Joe Burrow","CIN","10","QB5","52","62","54","56","56.0"
"54","AJ Dillon","GB","14","RB25","58","56","57","63","58.5"
"55","Courtland Sutton","DEN","9","WR20","51","65","69","52","59.3"
"56","Kyler Murray","ARI","13","QB6","57","64","63","55","59.8"
"57","Jerry Jeudy","DEN","9","WR21","61","66","62","54","60.8"
"58","Brandin Cooks","HOU","6","WR22","68","58","61","62","62.3"
"59","Damien Harris","NE","10","RB26","65","57","58","70","62.5"
"60","Marquise Brown","ARI","13","WR23","72","54","65","60","62.8"
"61","Clyde Edwards-Helaire","KC","8","RB27","69","67","53","64","63.3"
"62","Allen Robinson II","LAR","7","WR24","56","73","71","58","64.5"
"63","Dalton Schultz","DAL","9","TE6","55","69","74","61","64.8"
"64","Chris Godwin","TB","11","WR25","92","53","59","59","65.8"
"65","Jalen Hurts","PHI","7","QB7","59","76","66","65","66.5"
"66","T.J. Hockenson","DET","6","TE7","63","70","68","66","66.8"
"67","Amari Cooper","CLE","9","WR26","76","55","81","57","67.3"
"68","Michael Thomas","NO","14","WR27","80","71","50","69","67.5"
"69","Gabriel Davis","BUF","7","WR28","67","63","75","77","70.5"
"70","Miles Sanders","PHI","7","RB28","71","81","64","67","70.8"
"71","Amon-Ra St. Brown","DET","6","WR29","74","51","95","68","72.0"
"72","Adam Thielen","MIN","7","WR30","83","74","70","71","74.5"
"73","Darnell Mooney","CHI","14","WR31","93","59","79","72","75.8"
"74","Dak Prescott","DAL","9","QB8","73","68","83","82","76.5"
"75","Russell Wilson","DEN","9","QB9","70","79","77","81","76.8"
"76","JuJu Smith-Schuster","KC","8","WR32","62","80","96","73","77.8"
"77","Dallas Goedert","PHI","7","TE8","64","85","85","80","78.5"
"78","Devin Singletary","BUF","7","RB29","75","75","78","88","79.0"
"79","Kareem Hunt","CLE","9","RB30","90","84","72","76","80.5"
"80","Rashaad Penny","SEA","11","RB31","84","83","67","91","81.3"
"81","Tom Brady","TB","11","QB10","60","91","92","84","81.8"
"82","Hunter Renfrow","LV","6","WR33","99","61","80","89","82.3"
"83","Tony Pollard","DAL","9","RB32","94","86","73","85","84.5"
"84","Elijah Moore","NYJ","10","WR34","101","60","93","90","86.0"
"85","DeAndre Hopkins","ARI","13","WR35","100","112","55","79","86.5"
"86","Rashod Bateman","BAL","10","WR36","82","90","99","75","86.5"
"87","Cordarrelle Patterson","ATL","14","RB33","96","72","97","83","87.0"
"88","Matthew Stafford","LAR","7","QB11","87","87","76","101","87.8"
"89","Ken Walker III","SEA","11","RB34","103","89","87","74","88.3"
"90","Chase Edmonds","MIA","11","RB35","89","88","84","92","88.3"
"91","DeVonta Smith","PHI","7","WR37","109","78","88","87","90.5"
"92","Dawson Knox","BUF","7","TE9","77","106","89","93","91.3"
"93","Aaron Rodgers","GB","14","QB12","86","97","91","96","92.5"
"94","Melvin Gordon III","DEN","9","RB36","98","100","82","100","95.0"
"95","Zach Ertz","ARI","13","TE10","88","96","111","94","97.3"
"96","Rhamondre Stevenson","NE","10","RB37","97","94","94","104","97.3"
"97","Tyler Lockett","SEA","11","WR38","111","77","112","98","99.5"
"98","Brandon Aiyuk","SF","9","WR39","106","92","105","95","99.5"
"99","Trey Lance","SF","9","QB13","104","103","103","105","103.8"
"100","Robert Woods","TEN","6","WR40","130","98","90","106","106.0"
"101","James Cook","BUF","7","RB38","112","126","100","99","109.3"
"102","Michael Carter","NYJ","10","RB39","132","93","101","113","109.8"
"103","Allen Lazard","GB","14","WR41","108","123","106","103","110.0"
"104","Derek Carr","LV","6","QB14","110","113","107","115","111.3"
"105","Drake London","ATL","14","WR42","125","99","146","78","112.0"
"106","James Robinson","JAC","11","RB40","126","118","86","118","112.0"
"107","Christian Kirk","JAC","11","WR43","121","101","118","108","112.0"
"108","Mike Gesicki","MIA","11","TE11","120","114","109","112","113.8"
"109","Russell Gage","TB","11","WR44","124","107","110","117","114.5"
"110","Alexander Mattison","MIN","7","RB41","133","111","98","120","115.5"
"111","Ronald Jones II","KC","8","RB42","117","122","102","121","115.5"
"112","Kirk Cousins","MIN","7","QB15","116","104","121","123","116.0"
"113","Chase Claypool","PIT","9","WR45","141","105","116","107","117.3"
"114","Darrell Henderson Jr.","LAR","7","RB43","128","116","104","125","118.3"
"115","Buffalo Bills","DST","7","DST1","66","130","126","154","119.0"
"116","Chris Olave","NO","14","WR46","144","110","138","97","122.3"
"117","Kadarius Toney","NYG","9","WR47","152","108","119","111","122.5"
"118","Pat Freiermuth","PIT","9","TE12","113","141","130","109","123.3"
"119","Treylon Burks","TEN","6","WR48","175","95","142","86","124.5"
"120","Tampa Bay Buccaneers","DST","11","DST2","79","146","122","157","126.0"
"121","Dameon Pierce","HOU","6","RB44","129","153","120","114","129.0"
"122","Justin Tucker","BAL","10","K1","78","138","148","153","129.3"
"123","Isaiah Spiller","LAC","8","RB45","178","102","128","116","131.0"
"124","Tua Tagovailoa","MIA","11","QB16","149","121","124","132","131.5"
"125","Nyheim Hines","IND","14","RB46","154","137","114","126","132.8"
"126","Garrett Wilson","NYJ","10","WR49","161","109","189","102","140.3"
"127","Jarvis Landry","NO","14","WR50","160","135","135","133","140.8"
"128","Raheem Mostert","MIA","11","RB47","145","159","108","152","141.0"
"129","Tyler Boyd","CIN","10","WR51","173","115","152","124","141.0"
"130","Marquez Valdes-Scantling","KC","8","WR52","174","143","133","119","142.3"
"131","Rachaad White","TB","11","RB48","167","131","141","131","142.5"
"132","Marlon Mack","HOU","6","RB49","122","208","113","136","144.8"
"133","Daniel Carlson","LV","6","K2","105","157","156","164","145.5"
