,Player,Team,POS,RushingAtt,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FL,FPTS,PassingAtt,CMP,PassingYds,PassingTD,INTS
1,Jonathan Taylor,IND,RB,327.5,1608.9,14.8,42.3,,2.0,2.3,292.4,0.0,0.0,,0.0,0.0
2,Derrick Henry,TEN,RB,366.2,1649.5,13.1,27.3,,0.9,2.0,266.2,0.0,0.0,,0.0,0.0
3,Austin Ekeler,LAC,RB,219.1,976.6,9.4,74.5,,5.3,1.5,249.5,0.0,0.0,,0.0,0.0
4,Christian McCaffrey,CAR,RB,238.5,1055.5,7.5,88.9,,4.1,1.4,247.6,0.0,0.0,,0.0,0.0
5,Joe Mixon,CIN,RB,286.6,1193.7,9.7,46.8,,2.6,1.6,223.7,0.0,0.0,,0.0,0.0
6,Dalvin Cook,MIN,RB,276.2,1249.7,9.9,45.0,,1.5,2.6,221.7,0.0,0.0,,0.0,0.0
7,Alvin Kamara,NO,RB,216.3,952.4,7.9,59.1,,4.0,1.2,216.3,0.0,0.0,,0.0,0.0
8,Najee Harris,PIT,RB,294.6,1171.3,7.7,60.0,,2.1,1.6,211.5,0.0,0.0,,0.0,0.0
9,James Conner,ARI,RB,226.5,920.1,10.2,43.8,,2.3,1.6,199.7,0.0,0.0,,0.0,0.0
10,Leonard Fournette,TB,RB,222.2,936.8,8.9,60.6,,2.1,1.3,198.5,0.0,0.0,,0.0,0.0
11,Aaron Jones,GB,RB,193.6,920.0,6.1,60.9,,3.8,1.5,198.5,0.0,0.0,,0.0,0.0
12,Nick Chubb,CLE,RB,247.3,1228.6,8.7,25.0,,1.0,1.6,198.3,0.0,0.0,,0.0,0.0
13,Javonte Williams,DEN,RB,227.9,1007.3,7.6,45.7,,2.7,1.7,193.4,0.0,0.0,,0.0,0.0
14,Saquon Barkley,NYG,RB,238.9,1003.8,6.4,56.6,,2.2,1.5,190.3,0.0,0.0,,0.0,0.0
15,D'Andre Swift,DET,RB,215.3,909.1,6.4,65.4,,2.5,1.9,188.4,0.0,0.0,,0.0,0.0
16,David Montgomery,CHI,RB,240.8,971.8,7.6,45.3,,1.9,1.4,186.2,0.0,0.0,,0.0,0.0
17,Ezekiel Elliott,DAL,RB,232.3,970.9,8.1,40.8,,1.8,2.1,180.3,0.0,0.0,,0.0,0.0
18,Cam Akers,LAR,RB,236.3,1027.5,7.1,34.9,,1.6,3.3,176.4,0.0,0.0,,0.0,0.0
19,J.K. Dobbins,BAL,RB,196.2,949.7,8.2,33.3,,1.4,1.0,175.0,0.0,0.0,,0.0,0.0
20,Antonio Gibson,WAS,RB,228.0,956.8,7.6,35.6,,1.7,2.0,173.3,0.0,0.0,,0.0,0.0
21,Elijah Mitchell,SF,RB,239.1,1027.8,7.4,25.8,,1.3,1.2,172.3,0.0,0.0,,0.0,0.0
22,Damien Harris,NE,RB,214.1,973.4,10.0,18.2,,0.5,1.4,171.4,0.0,0.0,,0.0,0.0
23,Josh Jacobs,LV,RB,222.9,940.8,8.1,38.1,,0.9,1.9,171.0,0.0,0.0,,0.0,0.0
24,Breece Hall,NYJ,RB,219.5,959.9,6.1,40.4,,1.6,2.0,170.6,0.0,0.0,,0.0,0.0
25,Miles Sanders,PHI,RB,204.4,1043.5,5.7,32.0,,1.2,1.6,165.0,0.0,0.0,,0.0,0.0
26,Travis Etienne Jr.,JAC,RB,175.5,812.4,5.7,49.2,,2.0,1.7,163.9,0.0,0.0,,0.0,0.0
27,Rashaad Penny,SEA,RB,191.4,982.3,6.7,19.6,,0.6,1.2,154.2,0.0,0.0,,0.0,0.0
28,AJ Dillon,GB,RB,179.6,777.1,6.2,32.6,,1.5,1.2,148.4,0.0,0.0,,0.0,0.0
29,Devin Singletary,BUF,RB,183.4,847.0,6.0,33.1,,1.3,1.3,147.9,0.0,0.0,,0.0,0.0
