"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Jonathan Taylor","IND","327.5","1,608.9","14.8","42.3","352.9","2.0","2.3","292.4"
"Derrick Henry","TEN","366.2","1,649.5","13.1","27.3","214.3","0.9","2.0","266.2"
"Austin Ekeler","LAC","219.1","976.6","9.4","74.5","664.8","5.3","1.5","249.5"
"Christian McCaffrey","CAR","238.5","1,055.5","7.5","88.9","755.6","4.1","1.4","247.6"
"Joe Mixon","CIN","286.6","1,193.7","9.7","46.8","339.7","2.6","1.6","223.7"
"Dalvin Cook","MIN","276.2","1,249.7","9.9","45.0","336.0","1.5","2.6","221.7"
"Alvin Kamara","NO","216.3","952.4","7.9","59.1","521.6","4.0","1.2","216.3"
"Najee Harris","PIT","294.6","1,171.3","7.7","60.0","390.4","2.1","1.6","211.5"
"James Conner","ARI","226.5","920.1","10.2","43.8","356.5","2.3","1.6","199.7"
"Leonard Fournette","TB","222.2","936.8","8.9","60.6","413.2","2.1","1.3","198.5"
"Aaron Jones","GB","193.6","920.0","6.1","60.9","498.7","3.8","1.5","198.5"
"Nick Chubb","CLE","247.3","1,228.6","8.7","25.0","202.5","1.0","1.6","198.3"
"Javonte Williams","DEN","227.9","1,007.3","7.6","45.7","343.5","2.7","1.7","193.4"
"Saquon Barkley","NYG","238.9","1,003.8","6.4","56.6","415.4","2.2","1.5","190.3"
"D'Andre Swift","DET","215.3","909.1","6.4","65.4","479.0","2.5","1.9","188.4"
"David Montgomery","CHI","240.8","971.8","7.6","45.3","350.6","1.9","1.4","186.2"
"Ezekiel Elliott","DAL","232.3","970.9","8.1","40.8","278.2","1.8","2.1","180.3"
"Cam Akers","LAR","236.3","1,027.5","7.1","34.9","280.7","1.6","3.3","176.4"
"J.K. Dobbins","BAL","196.2","949.7","8.2","33.3","242.9","1.4","1.0","175.0"
"Antonio Gibson","WAS","228.0","956.8","7.6","35.6","257.2","1.7","2.0","173.3"
"Elijah Mitchell","SF","239.1","1,027.8","7.4","25.8","196.6","1.3","1.2","172.3"
"Damien Harris","NE","214.1","973.4","10.0","18.2","135.9","0.5","1.4","171.4"
"Josh Jacobs","LV","222.9","940.8","8.1","38.1","264.4","0.9","1.9","171.0"
"Breece Hall","NYJ","219.5","959.9","6.1","40.4","320.8","1.6","2.0","170.6"
"Miles Sanders","PHI","204.4","1,043.5","5.7","32.0","228.2","1.2","1.6","165.0"
"Travis Etienne Jr.","JAC","175.5","812.4","5.7","49.2","402.3","2.0","1.7","163.9"
"Rashaad Penny","SEA","191.4","982.3","6.7","19.6","148.0","0.6","1.2","154.2"
"AJ Dillon","GB","179.6","777.1","6.2","32.6","270.5","1.5","1.2","148.4"
"Devin Singletary","BUF","183.4","847.0","6.0","33.1","222.3","1.3","1.3","147.9"
"Cordarrelle Patterson","ATL","142.6","625.7","4.7","44.0","402.7","2.8","0.9","146.1"
"Clyde Edwards-Helaire","KC","179.4","786.7","5.3","35.7","265.0","1.9","1.3","146.1"
"Tony Pollard","DAL","157.3","749.4","3.8","45.1","369.4","1.9","1.3","143.5"
"Rhamondre Stevenson","NE","175.2","734.2","6.5","30.2","234.0","0.9","1.0","139.1"
"Melvin Gordon III","DEN","155.5","705.6","6.2","24.2","182.5","1.3","1.9","130.2"
"Chase Edmonds","MIA","145.0","649.3","3.5","46.9","335.4","1.7","0.9","127.8"
"Kareem Hunt","CLE","134.0","574.2","4.8","41.8","318.8","1.8","0.8","127.2"
