"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","101.4","1,205.2","9.4","0.5","175.6"
"Mark Andrews","BAL","96.1","1,196.8","9.0","0.5","172.4"
"Kyle Pitts","ATL","73.1","997.9","4.7","0.5","126.7"
"Darren Waller","LV","77.5","928.8","5.0","0.5","122.2"
"George Kittle","SF","72.6","887.5","5.4","0.5","120.3"
"Dalton Schultz","DAL","77.5","805.3","6.2","0.4","116.6"
"Dallas Goedert","PHI","63.6","795.3","5.0","0.5","108.8"
"T.J. Hockenson","DET","67.6","693.5","5.1","0.4","99.3"
"Hunter Henry","NE","53.8","618.1","6.0","0.1","97.9"
"Dawson Knox","BUF","49.1","593.3","6.1","0.1","96.0"
"Zach Ertz","ARI","64.7","662.9","4.8","0.4","94.1"
"Mike Gesicki","MIA","61.5","671.2","4.1","0.4","90.6"
"Noah Fant","SEA","60.7","653.6","3.8","0.4","87.5"
"Tyler Higbee","LAR","59.1","595.4","4.7","0.4","86.7"
"Pat Freiermuth","PIT","63.1","583.2","4.8","0.5","86.0"
"David Njoku","CLE","52.8","592.3","4.4","0.4","84.8"
"Cole Kmet","CHI","60.8","632.8","3.7","0.5","84.8"
"Irv Smith Jr.","MIN","50.4","557.0","4.5","0.1","82.5"
"Gerald Everett","LAC","55.0","567.0","4.5","0.9","82.3"
"Robert Tonyan","GB","45.7","520.6","4.5","0.1","78.9"
"Logan Thomas","WAS","48.9","511.1","4.5","0.4","77.3"
"Albert Okwuegbunam","DEN","49.1","506.0","4.6","0.8","76.9"
"Evan Engram","JAC","52.7","542.0","3.5","0.4","74.6"
"Austin Hooper","TEN","50.9","497.4","4.1","0.4","73.2"
"Hayden Hurst","CIN","42.0","441.5","4.0","0.5","67.1"
"Mo Alie-Cox","IND","34.8","420.8","3.2","0.1","61.2"
"Brevin Jordan","HOU","40.9","415.0","2.9","0.1","58.6"
"Adam Trautman","NO","36.1","375.2","2.8","0.4","53.8"
"Kyle Rudolph","TB","33.9","339.0","3.3","0.1","53.7"
"C.J. Uzomah","NYJ","36.9","365.2","2.6","0.0","52.3"
"Cameron Brate","TB","34.3","317.4","3.1","0.1","50.2"
"Andrew Beck","DEN","27.9","295.3","2.9","0.0","46.6"
"Jonnu Smith","NE","29.3","312.8","2.4","0.1","45.3"
"Harrison Bryant","CLE","28.6","301.6","2.4","0.4","44.1"
"Dan Arnold","JAC","27.9","328.8","1.9","0.5","43.6"
"Paul Quessenberry","HOU","37.0","334.0","2.0","1.0","43.4"
"Tyler Conklin","NYJ","32.5","313.9","2.0","0.1","43.0"
"Foster Moreau","LV","24.4","273.3","2.3","0.0","41.2"
"Tommy Tremble","CAR","27.6","281.9","2.2","0.1","41.0"
