"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Cooper Kupp","LAR","121.8","1,593.8","12.4","4.1","23.9","0.1","0.6","235.5"
"Ja'Marr Chase","CIN","91.7","1,417.5","10.5","8.5","49.9","0.2","0.6","209.4"
"Justin Jefferson","MIN","103.2","1,506.8","9.6","3.1","16.0","0.0","0.6","208.7"
"Deebo Samuel","SF","70.7","1,052.8","6.1","66.2","376.2","4.7","0.7","206.4"
"Davante Adams","LV","106.4","1,322.2","9.2","0.0","0.0","0.0","0.5","186.7"
"Stefon Diggs","BUF","102.1","1,256.9","8.9","0.2","2.0","0.0","0.5","178.2"
"CeeDee Lamb","DAL","91.3","1,241.1","7.7","6.0","45.0","0.1","0.5","174.1"
"Mike Evans","TB","82.2","1,132.2","10.1","0.2","1.4","0.0","0.5","172.8"
"Tyreek Hill","MIA","92.0","1,148.9","8.0","8.8","62.1","0.3","0.5","170.1"
"Tee Higgins","CIN","85.3","1,195.2","7.8","0.2","0.8","0.0","0.5","165.6"
"A.J. Brown","PHI","77.6","1,134.6","8.1","0.8","7.6","0.0","0.5","162.0"
"Mike Williams","LAC","74.6","1,098.1","7.9","0.0","0.2","0.0","0.4","156.7"
"Michael Pittman Jr.","IND","91.1","1,126.7","6.6","3.7","29.1","0.0","0.6","154.6"
"DJ Moore","CAR","87.0","1,146.7","5.6","5.6","37.7","0.1","0.6","151.4"
"Keenan Allen","LAC","99.6","1,086.5","6.9","0.4","1.8","0.0","0.5","149.1"
"Brandin Cooks","HOU","92.5","1,109.3","6.1","2.6","18.5","0.1","0.5","148.9"
"Gabriel Davis","BUF","61.2","954.2","8.8","0.0","0.0","0.0","0.1","147.8"
"DK Metcalf","SEA","78.5","1,057.2","6.8","0.4","2.2","0.0","0.6","145.8"
"Diontae Johnson","PIT","94.8","1,045.6","6.1","4.2","31.7","0.1","1.0","142.8"
"Terry McLaurin","WAS","78.5","1,071.2","5.9","0.4","4.6","0.0","0.4","141.9"
"Jaylen Waddle","MIA","89.4","999.0","6.1","3.3","19.1","0.3","0.6","139.5"
"Courtland Sutton","DEN","70.2","996.6","6.6","0.2","0.6","0.0","0.5","138.2"
"Michael Thomas","NO","85.5","995.1","6.5","0.2","-0.8","0.0","0.5","137.3"
"Amon-Ra St. Brown","DET","87.6","951.3","6.0","6.6","46.6","0.4","0.5","137.0"
"Jerry Jeudy","DEN","75.0","1,021.5","5.8","1.2","5.5","0.0","0.6","136.5"
"Marquise Brown","ARI","78.9","994.1","6.0","2.0","12.9","0.1","0.6","135.6"
"Darnell Mooney","CHI","77.9","1,029.5","4.8","5.0","26.1","0.2","0.5","135.1"
"Tyler Lockett","SEA","74.2","995.7","5.6","2.1","11.8","0.1","0.5","133.6"
"Chris Godwin","TB","80.7","936.2","6.3","2.2","12.0","0.3","0.9","132.5"
"Elijah Moore","NYJ","70.0","904.4","5.8","6.2","50.8","0.5","0.5","132.4"
"Adam Thielen","MIN","74.2","841.0","7.9","0.4","1.2","0.0","0.5","130.3"
"Amari Cooper","CLE","75.5","951.5","6.0","0.2","0.6","0.0","0.5","130.2"
"JuJu Smith-Schuster","KC","78.5","854.0","6.6","2.3","11.5","0.5","0.5","127.5"
"Robert Woods","TEN","73.5","875.6","5.0","8.9","61.2","0.7","0.5","127.0"
"Allen Robinson II","LAR","75.4","914.3","6.0","0.0","0.0","0.0","0.5","126.5"
"Hunter Renfrow","LV","82.9","884.7","6.3","1.2","5.0","0.0","0.6","125.9"
"Rashod Bateman","BAL","73.5","931.9","5.0","0.2","2.2","0.0","0.5","122.7"
"DeVonta Smith","PHI","62.8","863.3","5.6","0.0","0.0","0.0","0.5","119.1"
"Chase Claypool","PIT","63.8","852.3","4.6","8.7","52.4","0.2","0.5","118.4"
"Treylon Burks","TEN","59.6","855.2","5.2","4.0","25.8","0.3","1.2","118.3"
"Drake London","ATL","68.4","901.7","4.8","0.8","4.2","0.0","1.2","117.2"
"Allen Lazard","GB","56.4","760.6","6.6","1.4","12.3","0.0","0.4","116.1"
"Christian Kirk","JAC","71.3","873.3","4.6","0.8","5.8","0.0","0.5","114.4"
"Brandon Aiyuk","SF","60.3","817.4","5.3","2.9","17.4","0.0","0.5","114.2"
"Mecole Hardman","KC","58.5","737.5","4.6","8.4","58.9","0.4","1.0","108.1"
"DeAndre Hopkins","ARI","58.4","738.5","5.4","0.0","0.4","0.0","0.5","105.4"
"Kenny Golladay","NYG","55.8","789.6","4.5","0.0","0.0","0.0","0.4","104.9"
"Marquez Valdes-Scantling","KC","45.6","742.9","4.9","0.6","3.2","0.0","0.1","104.1"
"Jakobi Meyers","NE","72.6","818.8","3.8","0.4","2.8","0.0","0.5","103.7"
"DeVante Parker","NE","56.4","753.6","4.7","0.0","0.0","0.0","0.4","102.9"
"Kadarius Toney","NYG","63.2","735.2","3.8","8.8","59.6","0.1","0.5","101.8"
"Chris Olave","NO","51.6","741.4","4.8","0.4","2.2","0.0","0.7","101.5"
"Russell Gage","TB","63.3","716.6","5.1","0.2","0.8","0.0","0.9","100.6"
"Tyler Boyd","CIN","64.1","740.0","4.2","2.7","19.0","0.0","0.5","100.4"
