"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","99.4","1,179.8","9.3","0.5","172.7"
"Mark Andrews","BAL","95.5","1,187.6","8.9","0.5","171.3"
"Kyle Pitts","ATL","73.1","997.9","4.7","0.5","126.7"
"Darren Waller","LV","77.5","931.2","5.1","0.5","122.6"
"George Kittle","SF","71.2","871.1","5.4","0.5","118.6"
"Dalton Schultz","DAL","77.4","805.7","6.1","0.4","116.3"
"Dallas Goedert","PHI","63.5","794.5","5.0","0.5","108.6"
"T.J. Hockenson","DET","67.6","693.2","5.1","0.4","99.3"
"Hunter Henry","NE","53.8","618.5","6.0","0.1","97.9"
"Dawson Knox","BUF","48.9","591.9","6.2","0.1","95.9"
"Zach Ertz","ARI","64.7","663.0","4.8","0.4","94.1"
"Mike Gesicki","MIA","60.2","656.6","4.0","0.4","88.8"
"Noah Fant","SEA","60.7","652.5","3.8","0.4","87.5"
"Tyler Higbee","LAR","59.2","594.5","4.7","0.4","86.6"
"Cole Kmet","CHI","61.4","639.2","3.8","0.5","85.6"
"David Njoku","CLE","53.2","603.1","4.3","0.4","85.6"
"Pat Freiermuth","PIT","62.7","579.8","4.8","0.5","85.5"
"Irv Smith Jr.","MIN","50.4","556.7","4.5","0.1","82.4"
"Gerald Everett","LAC","55.0","566.9","4.5","0.9","82.3"
"Robert Tonyan","GB","45.7","520.6","4.5","0.1","78.9"
"Albert Okwuegbunam","DEN","49.4","509.5","4.7","0.8","77.4"
"Logan Thomas","WAS","48.6","508.1","4.5","0.4","77.0"
"Evan Engram","JAC","52.8","541.8","3.5","0.4","74.6"
"Austin Hooper","TEN","50.9","497.7","4.0","0.4","73.2"
"Hayden Hurst","CIN","41.9","440.7","4.0","0.5","67.1"
"Mo Alie-Cox","IND","35.0","422.7","3.3","0.1","61.6"
"Brevin Jordan","HOU","41.2","418.0","2.9","0.1","59.0"
"Adam Trautman","NO","36.0","374.1","2.9","0.4","53.7"
"Kyle Rudolph","TB","33.2","331.6","3.2","0.1","52.5"
"Cameron Brate","TB","34.3","317.5","3.1","0.1","50.2"
"C.J. Uzomah","NYJ","35.1","349.1","2.5","0.0","50.1"
