"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Christian McCaffrey",CAR,"RB1","1","15","1.6","1.6","+1"
"2",1,"Jonathan Taylor",IND,"RB2","1","4","2.0","0.6","-1"
"3",1,"Austin Ekeler",LAC,"RB3","1","10","3.6","1.6","0"
"4",1,"Dalvin Cook",MIN,"RB4","2","18","6.3","3.3","+3"
"5",2,"Justin Jefferson",MIN,"WR1","2","11","7.4","2.4","+1"
"6",2,"Cooper Kupp",LAR,"WR2","3","13","8.3","2.4","-2"
"7",2,"Najee Harris",PIT,"RB5","2","21","9.2","5.1","+1"
"8",2,"Derrick Henry",TEN,"RB6","2","31","10.5","6.4","-3"
"9",2,"D'Andre Swift",DET,"RB7","2","32","10.6","5.8","+5"
"10",2,"Travis Kelce",KC,"TE1","9","30","10.9","3.9","+5"
"11",2,"Joe Mixon",CIN,"RB8","2","25","11.1","4.8","-1"
"12",2,"Ja'Marr Chase",CIN,"WR3","4","22","11.3","2.6","-3"
"13",3,"Stefon Diggs",BUF,"WR4","8","23","13.3","2.4","-1"
"14",3,"Alvin Kamara",NO,"RB9","3","32","13.5","5.6","-1"
"15",3,"Davante Adams",LV,"WR5","6","22","13.9","2.4","-4"
"16",3,"Saquon Barkley",NYG,"RB10","3","38","14.7","7.5","+5"
"17",3,"Aaron Jones",GB,"RB11","5","32","16.5","5.6","+2"
"18",3,"CeeDee Lamb",DAL,"WR6","11","34","17.3","3.6","+2"
"19",3,"Mark Andrews",BAL,"TE2","9","30","19.9","4.5","+4"
"20",3,"Leonard Fournette",TB,"RB12","5","41","20.2","6.4","+4"
"21",4,"Tyreek Hill",MIA,"WR7","14","37","23.5","3.8","-3"
"22",4,"Mike Evans",TB,"WR8","13","42","24.5","5.0","+4"
"23",4,"Javonte Williams",DEN,"RB13","7","48","24.6","6.4","+2"
"24",4,"Keenan Allen",LAC,"WR9","17","53","25.6","6.4","+3"
"25",4,"Michael Pittman Jr.",IND,"WR10","17","57","26.3","6.6","+10"
"26",4,"Deebo Samuel",SF,"WR11","14","46","26.9","6.7","-10"
