display_name,position,week,season,team,opp,game_location,spread_line,total_line,gsis_id,proj_team_score,Projection,salary,opp_Rank,Value,ProjectedOwnership,optimal_exposure,PotentialLeverage,last_update
Aaron Rodgers,QB,13,2025,PIT,BUF,home,3.00,44.50,00-0023459,20.75,14.92,5100,5.00,2.79,1.20,3.98,3.00,2025-12-01T21:34:35Z
Matthew Stafford,QB,13,2025,LA,CAR,away,-10.00,44.50,00-0026498,27.25,18.81,7000,7.00,2.68,6.18,5.36,-0.81,2025-12-01T21:34:35Z
Tyrod Taylor,QB,13,2025,NYJ,ATL,home,3.00,38.50,00-0028118,17.75,14.60,4300,13.00,3.37,5.40,5.15,-0.25,2025-12-01T21:34:35Z
Kirk Cousins,QB,13,2025,ATL,NYJ,away,-3.00,38.50,00-0029604,20.75,13.71,4800,15.00,2.75,1.48,3.76,2.28,2025-12-01T21:34:35Z
Geno Smith,QB,13,2025,LV,LAC,away,10.00,40.50,00-0030565,15.25,12.94,4500,4.00,2.95,2.11,1.98,-0.13,2025-12-01T21:34:35Z
Marcus Mariota,QB,13,2025,WAS,DEN,home,6.50,43.50,00-0032268,18.50,16.11,,2.00,,,,,2025-12-01T21:34:35Z
Dak Prescott,QB,13,2025,DAL,KC,home,3.50,53.50,00-0033077,25.00,19.30,,11.00,,12.00,,,2025-12-01T21:34:35Z
Jared Goff,QB,13,2025,DET,GB,home,-2.50,48.50,00-0033106,25.50,16.72,,6.00,,9.00,,,2025-12-01T21:34:35Z
Jacoby Brissett,QB,13,2025,ARI,TB,away,4.50,44.50,00-0033119,20.00,16.81,5800,29.00,2.99,5.38,5.51,-0.26,2025-12-01T21:34:35Z
Patrick Mahomes,QB,13,2025,KC,DAL,away,-3.50,53.50,00-0033873,28.50,22.34,,32.00,,37.00,,,2025-12-01T21:34:35Z
Lamar Jackson,QB,13,2025,BAL,CIN,home,-7.00,52.50,00-0034796,29.75,21.52,,31.00,,21.00,,,2025-12-01T21:34:35Z
Baker Mayfield,QB,13,2025,TB,ARI,home,-4.50,44.50,00-0034855,24.50,17.60,5900,10.00,2.86,3.05,6.70,3.57,2025-12-01T21:34:35Z
Josh Allen,QB,13,2025,BUF,PIT,away,-3.00,44.50,00-0034857,23.75,21.93,7500,27.00,2.65,8.36,12.92,4.71,2025-12-01T21:34:35Z
Sam Darnold,QB,13,2025,SEA,MIN,home,-12.50,42.50,00-0034869,27.50,16.20,5600,9.00,3.18,6.31,4.22,-2.20,2025-12-01T21:34:35Z
Daniel Jones,QB,13,2025,IND,HOU,home,-3.00,44.50,00-0035710,23.75,17.31,6300,1.00,2.53,2.16,5.31,3.15,2025-12-01T21:34:35Z
Tua Tagovailoa,QB,13,2025,MIA,NO,home,-5.50,41.50,00-0036212,23.50,14.23,4900,12.00,3.10,3.88,3.21,-0.68,2025-12-01T21:34:35Z
Jordan Love,QB,13,2025,GB,DET,away,2.50,48.50,00-0036264,23.00,16.62,,24.00,,11.00,,,2025-12-01T21:34:35Z
